RPID,MID,ReleaseDate
201,11,1961-06-29
202,4965,2011-11-25
153,2647,2025-03-06
32,3152,2019-05-04
202,1860,1997-11-16
58,5652,2021-02-16
46,3600,2019-07-11
2,5018,2018-02-04
201,4958,1982-04-20
202,359,1996-10-23
116,3568,2017-11-05
51,362,2022-02-03
202,8498,2012-01-09
202,5615,2016-03-14
124,5702,2017-04-17
105,1865,2018-09-26
166,3946,2021-08-19
185,5514,2024-04-13
202,2560,1997-02-14
156,3647,2018-05-17
156,1420,2022-12-30
61,7305,2022-02-11
66,5272,2017-01-14
202,3499,2010-07-05
9,6296,2021-11-18
5,4439,2023-06-20
195,3800,2021-07-29
202,6888,2009-10-05
202,748,2014-05-13
154,8496,2017-12-09
202,5404,2005-07-04
124,8099,2019-12-09
201,8620,1977-04-05
143,1771,2020-07-26
202,5471,1997-09-13
68,7176,2025-02-14
195,6234,2023-07-22
202,6068,2012-05-17
202,6981,2012-06-26
177,7106,2024-10-12
129,1440,2022-05-18
52,4400,2019-08-20
202,5991,2014-06-03
147,658,2022-05-29
195,513,2022-05-29
201,6311,1956-11-02
133,5766,2017-06-05
202,8098,2005-09-20
201,1712,1991-11-26
120,7785,2021-10-29
21,1015,2019-01-24
57,103,2020-03-27
41,6291,2018-12-21
138,1008,2021-02-17
201,1979,2017-06-09
202,913,2001-02-24
75,6231,2025-02-16
126,7730,2024-11-29
37,6814,2024-08-25
13,6002,2023-11-21
202,641,2015-12-21
202,1495,2016-12-04
201,3478,1959-12-03
201,8012,1971-09-06
202,961,2014-05-25
202,4690,1996-12-22
28,63,2023-08-22
112,4953,2018-06-16
187,5443,2025-01-29
202,189,2005-08-31
36,3779,2022-10-31
202,8432,2014-11-07
195,4865,2022-06-05
202,4370,2017-09-12
143,4203,2017-12-19
202,5601,2015-07-09
86,7258,2025-01-27
73,4014,2025-12-02
202,1073,2001-04-30
188,2586,2024-01-22
147,6836,2023-01-11
133,4374,2022-09-04
202,4983,2012-01-01
56,439,2025-07-07
165,1572,2018-09-14
202,4989,2013-10-15
201,6932,1965-04-26
40,6699,2018-07-01
201,8780,1952-02-03
202,1443,2001-10-30
155,7843,2019-12-24
202,6242,2013-12-31
22,7249,2018-06-22
175,5569,2022-10-11
202,3632,1998-04-19
37,1738,2024-12-27
104,1020,2018-07-09
133,7288,2022-06-30
195,2312,2018-05-02
202,2601,1999-05-05
114,2581,2023-06-19
198,6637,2021-01-15
202,1314,1999-01-25
23,1621,2018-01-19
202,2502,1998-12-13
199,8100,2019-11-07
152,4218,2023-10-02
4,2865,2017-02-16
142,7301,2019-12-14
17,2276,2018-01-09
68,4343,2019-06-03
110,2779,2018-12-23
84,3407,2020-05-30
202,3618,2004-11-09
202,8387,2001-06-28
98,7796,2020-07-17
202,1199,2003-06-22
61,2359,2022-12-30
202,7408,2004-02-13
174,3380,2023-08-08
201,7744,1977-07-12
202,1991,2008-03-29
46,2259,2025-05-02
161,1819,2019-10-24
9,2401,2017-04-07
81,1687,2019-05-06
9,1891,2022-05-27
82,7223,2024-04-23
132,2817,2022-04-14
30,6052,2020-10-19
44,7957,2023-11-05
202,3300,2015-09-14
187,4265,2020-10-04
201,2794,1958-07-01
150,7751,2020-10-09
136,4886,2018-03-09
72,1744,2022-07-14
126,7639,2025-09-06
12,2387,2021-01-29
61,250,2019-06-08
202,3281,2006-03-31
31,1866,2021-07-09
202,2206,2001-11-06
202,1038,2009-09-23
202,8610,1995-09-27
132,1231,2025-08-01
202,8241,2014-10-01
14,4153,2022-03-09
143,3480,2017-12-26
60,2401,2019-01-03
123,1679,2020-04-22
43,3431,2017-08-18
191,7721,2018-03-10
29,1511,2019-04-15
202,6074,2007-01-24
202,701,2005-12-20
37,313,2024-12-14
20,4323,2019-08-16
51,7849,2025-10-09
140,8113,2023-03-26
158,7351,2022-02-25
202,4630,1999-03-20
148,8492,2021-05-24
10,871,2023-03-21
168,8519,2017-08-03
81,3001,2019-01-11
202,2820,2015-03-13
52,1214,2019-04-29
56,4204,2023-04-29
163,788,2017-06-04
202,2533,2005-03-21
202,5000,2010-05-05
202,8384,2016-06-24
124,1648,2019-07-16
11,4150,2017-04-11
37,257,2024-07-07
55,5929,2017-02-08
161,4625,2017-04-05
19,7020,2024-04-01
144,3389,2018-09-07
101,1979,2020-11-05
202,1897,2014-12-03
202,5911,1995-01-24
92,6302,2025-05-31
202,5037,1997-09-18
202,4778,2010-07-24
192,471,2025-08-14
201,8607,1957-04-07
114,5283,2021-07-31
95,8462,2020-10-06
94,6761,2021-06-23
80,8089,2025-04-02
119,7999,2019-05-14
109,3032,2020-04-29
202,5266,2001-02-28
35,7184,2018-02-08
153,6324,2025-03-25
33,7269,2022-04-03
198,5421,2021-04-25
201,3539,1984-12-11
141,5326,2023-03-24
96,6458,2017-10-27
29,6991,2025-04-12
130,5003,2023-04-15
177,3982,2023-04-05
201,305,1969-01-27
160,5438,2023-05-04
142,4640,2019-08-10
201,2558,1971-08-21
187,8081,2019-11-27
202,3424,2004-02-06
52,1789,2024-05-28
107,6830,2025-09-27
184,1070,2021-08-29
202,8415,2009-02-19
172,927,2021-05-20
128,3869,2020-05-22
59,1001,2017-11-06
130,33,2019-11-25
201,8569,1964-12-29
183,5904,2017-08-20
202,3791,1999-10-16
183,2302,2021-11-26
140,6132,2025-01-10
9,454,2019-01-23
157,1866,2020-09-11
202,6005,2006-05-31
50,1618,2022-07-30
58,8425,2025-05-06
87,680,2022-08-02
201,5686,1979-11-25
169,8477,2025-01-11
130,5503,2021-01-16
22,3253,2025-05-14
152,2657,2018-10-19
162,5381,2020-07-19
186,3582,2024-01-28
100,3399,2023-06-30
202,1909,2012-10-04
202,4512,2014-09-17
201,2510,1982-12-27
201,4325,1953-01-15
18,8283,2024-08-23
49,6692,2021-10-18
196,267,2025-06-18
201,1159,1977-11-17
202,3885,2002-07-02
202,103,2000-10-30
202,3092,2013-05-22
84,685,2022-11-19
202,2662,2008-03-04
108,2795,2025-03-19
202,4541,2007-02-23
7,4903,2020-04-20
201,4376,1980-04-10
91,8133,2024-11-12
157,3288,2018-07-26
72,3706,2018-04-04
202,3767,1998-12-19
60,351,2023-12-01
202,3274,2002-11-10
202,1224,2002-09-19
1,5039,2017-11-26
28,152,2017-09-13
148,4023,2023-05-05
69,2081,2018-12-07
202,5072,2011-07-04
75,4804,2020-11-01
202,3011,1998-11-11
202,72,2013-09-12
202,1830,2011-06-13
171,7707,2025-03-09
91,5166,2018-06-01
202,5484,2014-05-02
83,8361,2018-01-31
135,6981,2018-03-25
142,5164,2024-09-24
202,2063,2014-07-23
40,8213,2020-05-12
51,5572,2018-12-24
202,3955,2002-04-19
18,5409,2017-04-30
155,4863,2018-04-17
201,1419,1985-08-23
202,8260,2016-10-01
39,5584,2017-03-02
169,3065,2022-06-23
202,275,2006-06-17
79,6014,2020-04-28
24,6273,2019-01-07
80,3533,2017-03-18
101,7361,2021-11-29
202,8773,2008-04-09
201,7767,1992-02-01
202,6630,2004-09-29
19,2606,2025-10-14
202,4034,2014-07-06
55,7335,2024-07-19
15,4473,2022-07-19
201,7514,1958-08-18
95,5413,2020-01-21
202,4957,1997-01-04
125,4522,2018-06-25
202,2507,1995-12-04
201,3105,1985-01-12
202,7580,2004-07-17
76,7744,2024-05-23
131,7286,2018-02-23
42,3388,2025-09-04
202,2273,2007-01-09
45,543,2019-08-08
202,2195,2010-06-18
38,1037,2023-12-25
42,1500,2024-11-06
202,6627,1995-07-14
201,4398,1959-06-17
195,226,2021-05-30
165,1810,2022-10-21
148,6300,2023-01-21
202,6863,2005-01-17
21,4444,2019-02-17
202,8633,2007-08-01
202,8429,2006-01-09
202,545,1998-03-25
139,4028,2019-12-10
84,296,2017-04-26
35,2653,2024-04-11
202,4320,2003-08-07
202,843,1997-01-17
163,5039,2018-08-09
202,5143,2016-09-15
94,6055,2022-10-20
122,4540,2023-02-25
201,2004,1981-09-09
100,6552,2017-09-07
202,3156,2004-08-17
164,4406,2025-05-09
157,5486,2023-02-19
201,585,1963-07-08
14,4996,2023-03-05
202,6931,1999-03-20
110,629,2025-09-20
3,6697,2025-06-03
105,4223,2023-05-24
117,6258,2017-10-18
201,8201,2018-10-03
175,4254,2021-05-27
202,3304,2008-08-12
189,6734,2024-10-20
64,661,2021-12-06
47,797,2023-10-05
65,4501,2023-11-15
147,5090,2023-01-18
44,6381,2021-07-07
201,4461,1973-10-26
202,2046,2010-03-23
202,3387,2013-06-07
156,1146,2023-10-11
202,7749,2010-06-28
180,1656,2025-06-18
202,6957,2005-07-01
52,8566,2023-07-05
126,1713,2020-10-23
2,8300,2024-09-09
202,892,1999-01-13
201,2123,2023-06-16
202,6092,2015-08-29
94,5439,2023-10-04
202,5134,2006-06-23
176,8789,2019-10-05
45,1404,2019-12-24
148,4537,2025-04-25
8,1495,2020-04-14
127,8450,2025-05-13
85,7228,2024-03-20
152,7132,2023-06-19
66,7703,2018-02-27
202,8383,2002-06-05
201,1185,1960-04-04
202,8184,2012-07-19
202,580,2014-01-24
45,5209,2019-07-21
100,8140,2019-01-08
202,4938,2012-08-20
125,635,2018-06-25
137,4766,2024-12-14
27,6384,2020-10-10
201,1049,1951-05-06
151,3732,2018-06-16
202,2589,2005-12-21
202,1376,2005-05-03
121,1708,2017-05-29
73,5920,2023-03-20
112,867,2023-12-03
1,6680,2023-03-19
114,732,2023-02-12
60,2713,2020-12-07
15,7622,2017-10-20
26,4401,2025-11-23
202,2356,2001-09-23
69,7023,2025-10-19
202,8393,2007-08-03
202,4347,2011-04-23
71,3692,2019-12-31
201,5534,1981-01-05
201,6125,1967-04-24
116,7186,2017-12-06
46,6501,2021-06-26
202,1891,2001-04-04
151,3181,2018-07-08
202,7109,1995-04-04
199,4584,2022-10-10
16,3528,2022-11-06
160,5674,2024-07-31
201,6609,1980-06-11
61,2690,2018-04-02
202,1781,2000-07-31
179,1196,2018-05-05
97,222,2019-08-12
102,1470,2018-10-02
202,7561,2008-05-06
182,6073,2017-06-26
31,7343,2021-02-21
177,679,2020-06-08
150,4610,2019-10-01
202,4586,1997-12-23
74,4956,2022-06-08
202,5755,2003-01-28
82,1708,2022-05-20
67,1129,2025-09-11
202,3822,2004-06-19
162,5529,2025-07-14
202,3631,2010-07-10
117,1798,2018-10-11
202,8768,2001-03-22
153,8424,2018-12-16
155,1795,2017-06-22
202,993,1995-10-18
52,2437,2024-07-07
201,8545,1984-04-02
54,7105,2017-02-18
120,3917,2017-07-25
72,1935,2023-07-15
128,7525,2017-08-11
143,7890,2025-11-17
151,2583,2019-04-23
200,4068,2022-09-02
124,8371,2018-09-06
201,7858,1976-03-23
112,6903,2020-04-08
191,3743,2021-03-01
144,5569,2024-06-01
153,269,2022-11-13
202,1888,2010-02-16
202,844,2008-07-25
201,1208,1983-09-29
201,7494,1983-05-15
163,4626,2018-09-29
198,8700,2025-09-19
23,3545,2017-07-07
73,6520,2017-08-09
125,7435,2024-12-26
20,2567,2021-03-17
201,7094,1956-12-16
201,216,1965-12-04
53,3765,2022-06-20
142,3144,2021-06-28
109,8604,2021-10-01
122,4288,2019-09-12
82,7379,2025-05-19
191,2240,2021-04-09
116,4361,2024-05-05
131,4274,2025-03-28
85,2641,2022-10-10
161,1474,2025-10-07
118,266,2017-12-16
30,8164,2018-02-01
202,4343,1999-01-07
39,3170,2021-04-12
51,6412,2024-06-23
4,7351,2022-08-05
140,7720,2024-02-01
201,7361,1962-07-10
174,6040,2025-08-17
64,1923,2019-09-25
201,5332,1993-08-07
202,1093,2012-08-31
202,8297,2009-09-20
202,7105,2014-06-12
178,1723,2023-10-05
22,8618,2017-04-22
7,8534,2020-11-21
78,1816,2017-02-19
25,5114,2023-06-21
47,5140,2024-02-01
201,7397,1951-12-25
202,5668,2007-05-26
112,2799,2018-08-02
202,5902,2003-01-25
21,3392,2018-06-30
139,1674,2021-01-13
188,3331,2019-12-07
76,2131,2024-05-29
50,2082,2019-10-01
43,3465,2022-12-20
140,7369,2023-04-21
173,6135,2024-05-01
98,7799,2025-05-08
147,5843,2017-06-18
69,847,2021-05-30
84,4971,2021-08-05
11,8775,2018-08-19
158,5859,2018-11-20
201,4079,1992-01-07
11,1873,2019-03-10
169,3201,2022-01-09
202,7713,2013-11-26
94,5781,2020-09-09
134,6999,2022-05-20
105,5850,2021-02-17
202,5249,1996-02-13
202,4367,2013-12-07
202,332,2011-08-26
198,7993,2025-05-20
201,3575,1972-03-21
202,650,1998-10-28
150,833,2023-07-13
47,388,2019-10-18
15,686,2018-04-15
174,5700,2022-05-11
202,151,2000-06-16
202,1757,2008-12-15
90,2163,2020-11-16
201,4179,1987-08-03
202,566,1996-04-11
62,1473,2021-10-25
14,7567,2025-07-24
80,4821,2018-12-08
202,3151,2015-11-11
201,6286,1971-01-04
10,3373,2017-03-29
67,8627,2022-01-01
139,2024,2017-04-15
202,8799,2015-11-19
17,6068,2022-01-30
52,5561,2021-06-09
202,8467,2011-03-08
201,8562,1959-02-07
202,5725,2010-08-22
88,2213,2025-07-20
161,579,2018-08-03
202,5472,2012-03-20
202,1222,1995-11-01
67,8597,2018-01-06
39,7829,2017-10-20
74,441,2017-04-21
94,6676,2025-02-26
171,6987,2017-05-19
64,2413,2018-01-08
23,3763,2025-09-11
202,4855,2011-09-19
127,7528,2018-07-10
202,8757,2007-07-08
114,7057,2023-06-12
36,6622,2022-08-10
194,6438,2021-04-13
58,512,2019-03-06
91,4140,2025-05-06
116,3594,2018-03-13
95,5379,2021-06-21
202,7310,2008-08-04
45,6034,2017-10-13
201,2678,1957-08-29
80,2303,2020-07-05
201,6619,1986-06-05
98,5742,2022-09-20
158,630,2024-10-16
87,6308,2023-07-16
197,7089,2025-04-06
202,4112,2010-02-22
102,1148,2017-10-26
62,1043,2024-02-19
48,4282,2020-07-26
202,4181,2011-05-29
163,1352,2017-02-21
46,5586,2018-07-27
54,4746,2025-12-21
152,8708,2021-12-15
119,2995,2020-04-13
202,7035,2014-11-06
202,1254,2005-10-28
201,5844,1992-03-29
69,8161,2021-10-05
98,5281,2021-04-01
202,794,2013-01-04
202,284,2013-07-26
202,1172,2000-11-14
202,5692,2002-01-08
56,373,2021-10-15
201,8059,1979-12-01
202,6989,2012-07-08
201,6032,1987-02-21
202,6291,2006-05-29
154,4186,2023-03-21
202,4164,1995-03-15
201,28,1987-01-23
202,3197,1995-04-07
202,8130,2005-04-22
202,8591,2013-07-08
66,1939,2023-08-29
202,544,2013-03-15
202,4846,2007-12-06
63,7015,2017-03-20
182,137,2019-11-28
202,5057,2015-03-28
202,8335,2004-12-23
201,4457,1990-05-29
25,4082,2019-07-25
86,2097,2020-10-25
121,8209,2025-02-23
71,7376,2023-07-01
103,1059,2020-07-01
59,7741,2024-07-11
202,7535,2005-04-25
7,1218,2025-05-18
201,4128,1983-03-06
67,7531,2025-01-07
163,867,2023-10-29
9,5629,2022-02-22
201,496,1969-01-22
167,674,2024-06-02
202,2902,2012-06-27
202,7825,2007-12-17
202,8160,2009-01-23
202,989,2013-12-12
202,5924,2005-06-12
186,8716,2025-02-05
201,7277,1960-04-26
20,3551,2025-03-04
189,4870,2018-04-03
23,5723,2025-03-28
100,112,2017-03-08
202,4083,2008-05-07
198,3123,2017-08-13
202,4557,1998-07-09
182,1313,2021-01-06
91,4956,2025-08-27
79,7367,2018-07-16
44,3188,2024-02-16
60,1462,2023-08-11
162,425,2017-09-29
85,6115,2020-09-05
201,6654,1971-11-28
91,664,2017-03-29
53,7917,2024-10-02
202,7564,1997-12-05
200,4969,2020-09-24
168,4771,2022-04-21
202,9,2011-07-22
166,2420,2024-09-08
188,7496,2023-09-09
202,3071,2004-12-09
201,2318,1975-04-02
201,4356,1962-09-06
202,6335,2016-03-21
201,3227,1972-03-01
50,1644,2022-06-14
202,1563,2016-02-28
201,7304,1959-01-30
56,5100,2018-11-22
202,5581,2007-08-25
202,8,2005-11-30
58,3285,2023-01-06
202,2159,2000-03-23
202,2170,2014-05-25
202,1867,2010-03-11
30,3472,2018-04-29
36,5357,2019-01-28
202,296,1998-07-17
202,1640,1998-05-17
171,5603,2021-06-06
202,7734,2025-01-30
107,909,2022-10-09
202,5157,2011-02-17
202,4623,2000-09-04
172,3219,2021-03-03
37,3869,2018-04-18
202,2972,2004-07-22
201,1394,1963-07-14
201,8754,1977-01-09
64,4659,2019-05-23
62,5267,2019-09-20
51,7368,2024-01-08
202,6830,2008-05-10
111,4211,2018-02-23
95,2974,2023-01-20
133,1954,2020-12-24
4,2179,2020-10-08
57,6087,2025-08-10
31,892,2017-01-28
202,1775,2013-08-11
140,4974,2021-06-06
143,3307,2018-11-05
37,1167,2024-12-23
202,3977,1999-11-07
99,4362,2023-09-12
157,1978,2020-03-28
201,6232,1990-08-24
54,301,2017-09-09
90,7028,2017-04-07
69,7403,2020-04-15
130,190,2025-08-21
202,2651,2005-03-30
201,948,1989-08-08
50,3483,2023-04-27
125,4374,2022-03-12
55,912,2023-07-25
202,7597,2015-07-09
202,7485,1997-07-12
4,7976,2017-07-28
64,5349,2025-03-11
140,3422,2021-03-19
41,4156,2025-04-17
202,1652,1996-10-28
139,7123,2023-03-05
202,3171,2002-01-26
168,7515,2018-12-13
154,8301,2025-11-01
14,7386,2017-09-08
103,5411,2024-10-29
97,7236,2024-10-10
112,5391,2020-05-30
70,2665,2025-03-20
202,836,1996-06-27
202,49,2011-11-08
129,7841,2024-06-08
202,3180,2016-09-16
52,3149,2024-02-18
134,926,2025-06-04
202,265,1998-04-30
182,5731,2025-01-03
15,7483,2017-05-09
202,3352,2008-11-23
202,7426,2014-02-03
171,4556,2017-12-13
179,836,2018-12-22
202,8120,2003-07-01
201,2459,1966-12-18
201,2096,1994-09-23
20,5714,2017-12-21
15,2227,2022-10-03
202,39,2000-06-22
48,2407,2024-10-29
14,7833,2017-02-25
142,3305,2024-08-30
12,6405,2022-05-14
202,6543,2001-03-14
108,1668,2021-11-28
145,4718,2021-08-29
105,611,2024-12-08
201,1230,1963-01-27
37,8307,2020-05-06
202,4686,2009-07-22
166,1458,2024-04-13
201,2479,1994-07-09
79,6654,2022-10-03
202,312,2000-06-30
202,3848,2013-11-24
201,5811,1954-10-01
125,3259,2025-04-07
202,1896,2014-08-31
202,4803,1999-03-01
2,3155,2025-10-23
202,8101,2012-05-10
119,5138,2021-07-29
201,3585,2024-04-16
202,7029,2001-06-08
201,540,1985-05-06
68,1071,2025-02-23
100,7274,2017-08-10
202,8316,2012-01-29
131,6610,2021-11-26
9,4883,2022-05-20
202,2828,2003-07-17
202,4509,2001-08-15
202,6793,2004-04-02
79,1437,2020-04-29
202,1175,2013-09-23
202,3033,2003-07-18
182,1692,2019-04-08
155,3725,2017-01-31
160,2487,2019-09-14
142,547,2020-04-26
93,4557,2019-02-16
171,7684,2017-12-08
154,3174,2023-12-26
202,3502,2014-08-10
202,4651,2016-04-22
202,4170,1995-03-09
202,3578,2012-06-09
202,761,2007-06-20
202,424,1999-01-29
95,4151,2020-06-07
174,8412,2023-01-03
202,7523,2010-11-19
200,3002,2019-08-12
82,2797,2018-08-12
92,8040,2021-01-11
202,1123,2006-12-04
90,409,2024-02-09
202,745,2010-03-09
69,5082,2020-04-06
202,6452,2014-05-27
101,4986,2023-05-14
104,7398,2019-01-08
127,25,2020-11-17
79,2377,2018-03-09
202,4936,1995-10-20
202,8138,2004-12-22
79,6132,2024-09-02
202,358,2016-02-24
202,6168,2014-01-01
202,147,2008-03-22
115,7570,2018-08-12
17,7444,2022-10-20
183,8748,2019-08-12
67,6660,2020-07-03
202,5101,2015-03-12
43,383,2024-05-25
49,1264,2019-12-20
57,1768,2024-01-26
202,7965,1996-09-25
185,3452,2021-09-02
17,4104,2020-05-07
202,6877,2000-03-21
66,2607,2019-01-25
148,6342,2020-03-14
23,7968,2020-09-29
199,6352,2017-04-09
170,7582,2022-01-21
117,983,2022-07-18
202,4205,1996-10-06
53,7759,2023-01-13
108,941,2018-02-14
148,457,2019-10-11
50,1544,2024-07-24
74,3040,2024-10-05
107,8663,2019-06-16
117,7961,2020-07-22
121,7478,2018-01-05
202,811,2008-09-24
53,4499,2022-01-21
202,75,2008-02-23
104,7471,2017-05-05
202,4639,2002-09-08
160,2525,2021-04-08
176,5985,2018-04-16
36,2359,2025-05-06
202,1144,2010-09-09
202,8733,2000-06-01
59,565,2018-05-31
202,2893,2012-09-07
202,367,2009-07-17
90,964,2017-04-12
202,6668,1998-08-10
176,4922,2023-05-29
103,3538,2021-10-12
202,4760,2004-01-08
162,8370,2023-12-23
201,2121,1952-03-11
71,5696,2021-09-14
202,922,2009-10-20
3,8486,2022-12-20
80,8329,2018-07-23
6,8356,2023-12-13
179,5864,2025-03-07
202,194,2013-07-31
202,3599,2001-12-15
202,7120,2016-06-10
192,2603,2021-10-01
173,203,2023-03-15
202,8582,2005-10-10
202,5457,2015-07-23
202,7298,2001-12-08
202,7430,2001-11-27
75,7236,2023-11-16
122,2586,2023-05-25
188,2752,2025-02-23
136,5330,2024-04-07
202,8276,2007-11-27
108,2234,2021-04-05
10,3309,2017-09-07
49,7256,2023-05-07
202,2154,1995-12-30
81,7588,2019-03-31
202,3341,1998-06-04
21,8556,2020-03-26
128,4227,2017-12-16
100,675,2018-04-23
58,5051,2019-06-09
193,2622,2019-08-03
26,3211,2017-12-02
201,901,1991-06-10
202,8097,2010-07-06
202,2572,2008-04-26
202,7741,2008-01-24
7,8214,2019-06-26
101,6178,2019-07-05
18,862,2021-12-15
99,4424,2020-10-01
139,3664,2019-12-20
86,1973,2021-02-03
202,4982,2012-08-31
133,5392,2023-11-13
202,3258,1995-01-28
136,4383,2020-08-29
201,1784,1989-11-29
202,1371,2000-07-26
202,6417,2006-11-22
115,7188,2023-08-16
129,3128,2025-03-05
144,1914,2017-04-12
202,8185,2010-09-19
126,1872,2019-02-16
18,3017,2020-08-12
202,1288,2015-08-26
202,1573,2016-06-16
108,1531,2022-04-19
179,7575,2021-07-21
71,2974,2024-11-02
202,7276,2010-12-22
201,3327,1966-01-04
44,7864,2020-09-02
202,3363,2005-12-06
194,6271,2017-01-28
50,8694,2025-11-27
202,5631,1999-12-22
187,8388,2017-09-03
202,8666,2015-04-28
105,2929,2022-09-26
201,791,1988-08-09
41,1564,2020-09-14
76,3940,2022-08-01
202,3458,2014-03-12
70,5217,2025-11-27
202,2720,2023-06-13
202,4737,1998-05-01
202,428,2015-04-26
202,5208,1995-03-20
202,4766,1997-11-02
202,473,1995-03-05
202,2255,2000-09-03
202,171,2005-11-25
202,6719,2001-01-22
165,4885,2019-02-01
150,2765,2019-07-16
142,2735,2017-01-25
101,3379,2018-01-08
175,2583,2024-03-24
91,4861,2024-11-25
35,1119,2022-03-01
202,8044,2004-03-10
202,8645,1997-04-17
201,4108,1952-08-07
67,8025,2020-09-16
201,8521,1963-03-18
201,6387,1974-08-30
97,137,2019-10-17
150,6635,2023-07-01
14,3282,2023-02-26
201,910,1979-07-11
36,3837,2019-11-17
62,7387,2017-03-21
202,956,2002-01-07
112,6261,2024-11-08
202,4583,2008-09-26
202,2162,2010-06-17
199,3001,2024-03-28
201,4507,1954-06-14
202,4879,2015-01-12
46,2473,2025-11-02
11,665,2017-08-16
82,6928,2017-12-25
201,7138,1954-04-12
151,4965,2019-01-07
137,6153,2018-01-27
202,2894,2012-08-16
63,7676,2024-05-21
202,5616,1997-04-16
202,5873,1995-05-30
201,6914,1975-11-07
201,1871,1971-10-03
202,8684,2000-10-03
98,3829,2017-06-13
86,8160,2022-06-21
202,5004,2013-02-06
28,7753,2023-11-22
175,4399,2024-05-30
80,3527,2022-05-13
201,3006,1979-03-06
127,2431,2025-11-01
166,6375,2021-06-09
104,5247,2022-01-04
104,7073,2023-06-02
2,4293,2021-09-11
127,4334,2024-09-11
122,3652,2023-08-18
77,4241,2022-09-24
146,2510,2020-08-18
201,8479,1954-06-25
158,4365,2021-05-18
202,1826,1999-01-29
59,4626,2017-01-06
137,5993,2021-07-08
84,2587,2018-09-26
13,5107,2019-05-10
201,8184,1991-08-11
60,7993,2023-07-05
201,8147,1966-06-03
201,5152,1955-08-18
28,6617,2022-12-29
20,69,2025-10-14
197,6553,2025-08-28
202,3787,1995-09-08
186,6305,2020-05-27
201,6859,1953-06-24
202,7242,1998-07-16
24,1008,2022-08-05
2,6205,2025-02-17
49,5870,2021-12-10
159,1318,2021-11-13
131,5940,2021-09-27
202,7832,2016-12-18
99,788,2024-05-10
202,4492,2003-10-14
202,6709,2012-03-28
195,2466,2021-05-12
142,2997,2017-05-31
201,4966,1965-01-29
14,6114,2024-12-05
192,8465,2017-09-20
89,1204,2022-09-06
201,6203,1966-03-15
164,4864,2025-04-09
202,6607,2005-10-02
201,8612,1960-04-18
189,6414,2022-06-17
201,4516,1986-02-28
9,1930,2019-10-24
202,556,2005-06-26
88,5774,2020-09-07
202,2342,2013-11-12
201,850,1972-04-25
157,566,2019-06-16
202,4392,2006-02-26
202,7308,2015-07-12
202,3674,2007-02-11
200,6816,2022-10-12
13,734,2023-09-21
202,106,1996-04-02
6,705,2023-07-18
122,229,2017-02-13
184,5985,2025-07-17
84,6273,2019-09-21
202,5699,1999-09-26
121,739,2024-04-28
128,7402,2023-07-20
201,6127,1978-06-27
160,8656,2020-01-06
48,1178,2019-03-13
202,884,2016-09-05
202,5381,2004-10-29
88,1984,2019-07-29
14,6954,2019-11-26
202,709,2012-07-12
165,1878,2022-08-09
137,4359,2025-09-01
14,4083,2023-09-15
166,3642,2017-06-27
37,4475,2022-09-23
202,7861,2009-02-26
125,4663,2018-09-05
201,7593,1973-05-24
96,4206,2018-09-01
159,3045,2025-10-27
71,6765,2021-09-23
85,2257,2019-01-13
175,397,2023-11-12
53,505,2024-08-25
135,764,2025-11-11
202,8737,2004-10-28
61,2872,2025-05-04
70,3747,2018-11-16
202,8758,2000-07-10
195,5498,2025-08-18
169,4322,2017-03-10
202,5345,1998-02-12
202,3511,2016-12-18
87,2129,2025-11-28
106,5672,2024-07-07
202,445,1999-05-02
202,6458,2011-06-04
51,4897,2022-06-06
119,6090,2019-12-11
100,3286,2019-03-06
195,6789,2023-01-09
119,5357,2017-03-31
87,914,2017-03-13
201,5892,1950-10-04
155,8066,2025-11-02
51,5066,2022-11-26
82,3817,2025-06-30
10,6679,2024-10-30
30,3088,2017-01-08
75,6143,2019-05-24
200,814,2018-09-10
163,2100,2020-07-18
76,4761,2025-01-21
202,2681,2006-09-07
201,2685,1978-09-13
201,1427,1981-02-02
202,2554,2005-11-13
74,1738,2021-01-23
202,7856,1998-07-01
51,8589,2025-10-10
197,3363,2025-10-11
202,4296,1997-09-11
202,3998,2012-04-06
181,6371,2019-07-07
176,5481,2021-08-02
59,1631,2025-10-29
202,2200,1999-01-03
183,8017,2022-09-18
110,6824,2018-10-15
201,5766,1989-01-18
178,1689,2018-01-07
146,7087,2019-11-14
201,2906,1959-06-04
202,2078,1999-10-05
162,6101,2023-05-08
12,1982,2022-04-18
5,8600,2017-01-10
61,6121,2020-09-08
202,1434,2006-03-18
126,4573,2017-06-06
202,5965,2018-12-22
146,1699,2021-11-07
121,3952,2022-11-26
147,6527,2017-06-07
201,2495,1950-04-14
141,4605,2017-01-29
111,8778,2018-01-27
17,4771,2018-05-03
94,3663,2018-01-17
74,2464,2019-10-28
150,1906,2022-11-18
20,3842,2018-10-28
202,249,2008-02-13
57,4446,2025-01-19
97,4778,2024-08-24
26,4012,2020-09-03
198,580,2018-05-31
202,1285,1999-02-21
198,6486,2017-12-30
72,3734,2021-01-22
45,7516,2024-06-14
5,5802,2022-03-14
23,3666,2019-01-22
29,2563,2024-10-16
14,1435,2017-07-23
176,8032,2017-06-21
136,7758,2019-02-17
202,1980,2003-12-28
166,8652,2022-08-29
124,7029,2023-10-19
100,321,2021-10-11
186,1998,2017-07-22
